date,company,trip_count,fare_amount
2015-07-20,1,3273,13.304919035
2015-07-20,2,3811,13.466806612
2015-07-21,2,3705,13.491565452
2015-07-21,1,3241,13.210521444
2015-07-22,1,3370,13.729525223
2015-07-22,2,3956,13.683265925
2015-07-23,1,3538,13.912238553
2015-07-23,2,4151,13.881835702
2015-07-24,2,4017,13.411999004
2015-07-24,1,3589,13.33700195
2015-07-25,1,3363,12.542402617
2015-07-25,2,3965,12.922698613
2015-07-26,1,3066,13.123418134
2015-07-26,2,3732,13.278269025
2015-07-27,2,3483,13.480189492
2015-07-27,1,3135,13.540542265
2015-07-28,2,3917,13.014551953
2015-07-28,1,3273,12.838527345
2015-07-29,1,3433,13.340372852
2015-07-29,2,4085,13.199755202
2015-07-30,1,3236,13.950710754
2015-07-30,2,3874,14.312338668
2015-07-31,1,3347,14.285389901
2015-07-31,2,3930,14.32480916
2015-08-01,2,4061,12.918739227
2015-08-01,1,3430,12.822303207
2015-08-02,2,3744,13.40357906
2015-08-02,1,3177,13.341611583
2015-08-03,1,3105,13.447665056
2015-08-03,2,3623,13.154154016
2015-08-04,1,3254,13.317486171
2015-08-04,2,3770,13.15397878
2015-08-05,1,3323,13.270689136
2015-08-05,2,3930,13.449236641
2015-08-06,1,3359,13.6634415
2015-08-06,2,4014,13.605007474
2015-08-07,2,3836,13.555265902
2015-08-07,1,3403,13.395386424
2015-08-08,1,3138,12.575844487
2015-08-08,2,3946,12.644984795
2015-08-09,1,2797,13.365033965
2015-08-09,2,3294,13.738312083
2015-08-10,1,2844,13.537535162
2015-08-10,2,3393,13.207633363
2015-08-11,2,3698,12.947674419
2015-08-11,1,3135,13.018354067
2015-08-12,1,3253,13.672609899
2015-08-12,2,3617,13.456040918
2015-08-13,1,3232,13.606435644
2015-08-13,2,3814,13.492003146
2015-08-14,2,3908,13.978121801
2015-08-14,1,3284,13.45796285
2015-08-15,1,3230,12.672368421
2015-08-15,2,3837,12.860568152
2015-08-16,2,3532,13.413646659
2015-08-16,1,3066,13.358936725
2015-08-17,2,3500,13.367071429
2015-08-17,1,2926,13.085440875
2015-08-18,2,3834,13.002217006
2015-08-18,1,3178,13.126192574
2015-08-19,1,3334,13.603794241
2015-08-19,2,3948,13.363158561
2015-08-20,1,3389,13.567719091
2015-08-20,2,3985,13.47553325
2015-08-21,1,3317,13.423436841
2015-08-21,2,3933,13.544749555
2015-08-22,1,3107,12.893241069
2015-08-22,2,3703,12.66594653
2015-08-23,2,3404,13.593052291
2015-08-23,1,2798,13.946032881
2015-08-24,1,2892,12.983748271
2015-08-24,2,3313,13.324630244
2015-08-25,2,3558,13.118184373
2015-08-25,1,3030,12.84339934
2015-08-26,2,3631,13.241255852
2015-08-26,1,3155,12.914104596
2015-08-27,2,3765,13.388711819
2015-08-27,1,3348,13.287831541
2015-08-28,1,3279,13.14326014
2015-08-28,2,3754,13.328449654
2015-08-29,2,3823,12.888830761
2015-08-29,1,3132,12.523786718
2015-08-30,2,3328,13.257512019
2015-08-30,1,3004,13.129327563
2015-08-31,2,3351,13.009549388
2015-08-31,1,2814,13.11025231
2015-09-01,2,3574,12.95005596
2015-09-01,1,3115,13.073515249
2015-09-02,1,3246,13.099815157
2015-09-02,2,3758,13.077434806
2015-09-03,1,3340,13.821107784
2015-09-03,2,3878,13.420835482
2015-09-04,2,3830,13.453524804
2015-09-04,1,3186,13.60703076
2015-09-05,2,3641,12.636363636
2015-09-05,1,2955,12.632825719
2015-09-06,2,3301,13.504544078
2015-09-06,1,2560,12.831640625
2015-09-07,2,3060,13.539379085
2015-09-07,1,2487,13.623240852
2015-09-08,1,3128,13.587276215
2015-09-08,2,3754,14.006259989
2015-09-09,2,3907,14.166112106
2015-09-09,1,3385,13.778138848
2015-09-10,1,3274,14.617135003
2015-09-10,2,3783,14.616441977
2015-09-11,2,4192,14.189646947
2015-09-11,1,3501,14.213653242
2015-09-12,1,3774,12.750397456
2015-09-12,2,4410,13.229138322
2015-09-13,2,4065,13.239237392
2015-09-13,1,3354,13.270721527
2015-09-14,1,2960,13.09847973
2015-09-14,2,3548,13.078635851
2015-09-15,1,3227,13.453827084
2015-09-15,2,3806,13.694889648
2015-09-16,1,3370,14.174035608
2015-09-16,2,3890,14.314717224
2015-09-17,2,3937,14.522098044
2015-09-17,1,3559,14.610494521
2015-09-18,1,3730,13.986193029
2015-09-18,2,4310,13.983410673
2015-09-19,1,3938,12.742001016
2015-09-19,2,4538,13.105306302
2015-09-20,1,3558,13.092467678
2015-09-20,2,4142,13.234910671
2015-09-21,1,3231,13.41272052
2015-09-21,2,3670,13.496389646
2015-09-22,1,3234,12.83240569
2015-09-22,2,3716,13.2151507
2015-09-23,1,3201,12.577944392
2015-09-23,2,3775,12.691125828
2015-09-24,1,2927,13.013495046
2015-09-24,2,3248,13.308559113
2015-09-25,2,3904,12.942494877
2015-09-25,1,3130,12.92571885
2015-09-26,1,3584,13.268638393
2015-09-26,2,4354,13.151125402
2015-09-27,2,3953,14.089299266
2015-09-27,1,3406,13.988285379
2015-09-28,1,2732,14.558437042
2015-09-28,2,3134,15.473596043
2015-09-29,1,2966,13.713924477
2015-09-29,2,3492,13.884020619
2015-09-30,2,3817,14.026591564
2015-09-30,1,3060,14.013562092
2015-10-01,1,3182,14.088152106
2015-10-01,2,3848,14.373063929
2015-10-02,2,3934,13.836680224
2015-10-02,1,3474,13.662061025
2015-10-03,2,4128,12.275193798
2015-10-03,1,3586,12.04099275
2015-10-04,2,3875,13.440258065
2015-10-04,1,3263,13.024364082
2015-10-05,2,3546,13.279469825
